name,type,value,date
9,,1,2019-03-26,
10,,2,2019-03-26,
15,,1,2019-03-26,
17,,1,2019-03-26,
7,,1,2019-03-26,
1,,2,2019-03-27,
2,,3,2019-03-27,
4,,2,2019-03-27,
5,,2,2019-03-27,
6,,4,2019-03-27,
7,,6,2019-03-27,
8,,6,2019-03-27,
9,,7,2019-03-27,
10,,4,2019-03-27,
11,,2,2019-03-27,
12,,5,2019-03-27,
13,,2,2019-03-27,
14,,2,2019-03-27,
15,,3,2019-03-27,
17,,1,2019-03-27,
18,,2,2019-03-27,
19,,2,2019-03-27,
20,,3,2019-03-27,
0,,10,2019-03-28,
1,,8,2019-03-28,
2,,15,2019-03-28,
3,,11,2019-03-28,
4,,13,2019-03-28,
5,,7,2019-03-28,
6,,7,2019-03-28,
7,,36,2019-03-28,
8,,23,2019-03-28,
9,,15,2019-03-28,
10,,19,2019-03-28,
11,,37,2019-03-28,
12,,13,2019-03-28,
13,,11,2019-03-28,
14,,11,2019-03-28,
15,,7,2019-03-28,
16,,26,2019-03-28,
17,,2,2019-03-28,
18,,2,2019-03-28,
19,,7,2019-03-28,
20,,4,2019-03-28,
22,,3,2019-03-28,
23,,13,2019-03-28,
0,,18,2019-03-29,
1,,30,2019-03-29,
2,,60,2019-03-29,
3,,32,2019-03-29,
4,,47,2019-03-29,
5,,32,2019-03-29,
6,,18,2019-03-29,
7,,55,2019-03-29,
8,,39,2019-03-29,
9,,19,2019-03-29,
10,,23,2019-03-29,
11,,53,2019-03-29,
12,,24,2019-03-29,
13,,24,2019-03-29,
14,,21,2019-03-29,
15,,20,2019-03-29,
16,,40,2019-03-29,
17,,18,2019-03-29,
18,,23,2019-03-29,
19,,8,2019-03-29,
20,,4,2019-03-29,
22,,3,2019-03-29,
23,,13,2019-03-29,
0,,18,2019-03-30,
1,,37,2019-03-30,
2,,71,2019-03-30,
3,,54,2019-03-30,
4,,58,2019-03-30,
5,,48,2019-03-30,
6,,36,2019-03-30,
7,,59,2019-03-30,
8,,44,2019-03-30,
9,,23,2019-03-30,
10,,29,2019-03-30,
11,,60,2019-03-30,
12,,28,2019-03-30,
13,,24,2019-03-30,
14,,24,2019-03-30,
15,,26,2019-03-30,
16,,43,2019-03-30,
