name,type,value,date
16,,2,2015-11-13,
17,,2,2015-11-13,
13,,1,2015-11-13,
14,,1,2015-11-13,
15,,4,2015-11-13,
16,,2,2015-11-14,
17,,3,2015-11-14,
5,,2,2015-11-14,
13,,1,2015-11-14,
14,,1,2015-11-14,
15,,4,2015-11-14,
16,,2,2015-11-15,
17,,3,2015-11-15,
19,,1,2015-11-15,
20,,2,2015-11-15,
5,,2,2015-11-15,
7,,1,2015-11-15,
13,,1,2015-11-15,
14,,1,2015-11-15,
15,,7,2015-11-15,
5,,2,2015-11-16,
7,,1,2015-11-16,
9,,3,2015-11-16,
10,,3,2015-11-16,
11,,2,2015-11-16,
12,,1,2015-11-16,
13,,4,2015-11-16,
14,,4,2015-11-16,
15,,11,2015-11-16,
16,,2,2015-11-16,
17,,5,2015-11-16,
19,,1,2015-11-16,
20,,4,2015-11-16,
21,,1,2015-11-16,
22,,1,2015-11-16,
5,,2,2015-11-17,
6,,1,2015-11-17,
7,,1,2015-11-17,
9,,4,2015-11-17,
10,,4,2015-11-17,
11,,2,2015-11-17,
12,,2,2015-11-17,
13,,6,2015-11-17,
14,,4,2015-11-17,
15,,12,2015-11-17,
16,,3,2015-11-17,
17,,5,2015-11-17,
19,,1,2015-11-17,
20,,4,2015-11-17,
21,,2,2015-11-17,
22,,3,2015-11-17,
1,,1,2015-11-18,
5,,2,2015-11-18,
6,,1,2015-11-18,
7,,1,2015-11-18,
9,,4,2015-11-18,
10,,5,2015-11-18,
11,,3,2015-11-18,
12,,3,2015-11-18,
13,,12,2015-11-18,
14,,7,2015-11-18,
15,,13,2015-11-18,
16,,7,2015-11-18,
17,,10,2015-11-18,
18,,1,2015-11-18,
19,,2,2015-11-18,
20,,4,2015-11-18,
21,,2,2015-11-18,
22,,5,2015-11-18,
23,,1,2015-11-18,
1,,1,2015-11-19,
5,,2,2015-11-19,
6,,1,2015-11-19,
7,,2,2015-11-19,
8,,4,2015-11-19,
9,,8,2015-11-19,
10,,10,2015-11-19,
11,,4,2015-11-19,
12,,4,2015-11-19,
13,,15,2015-11-19,
14,,12,2015-11-19,
15,,20,2015-11-19,
16,,8,2015-11-19,
17,,15,2015-11-19,
18,,1,2015-11-19,
19,,2,2015-11-19,
20,,4,2015-11-19,
21,,2,2015-11-19,
22,,6,2015-11-19,
23,,4,2015-11-19,
1,,6,2015-11-20,
2,,1,2015-11-20,
5,,3,2015-11-20,
6,,3,2015-11-20,
7,,4,2015-11-20,
8,,9,2015-11-20,
9,,9,2015-11-20,
10,,16,2015-11-20,
11,,11,2015-11-20,
12,,5,2015-11-20,
13,,16,2015-11-20,
14,,22,2015-11-20,
15,,30,2015-11-20,
16,,15,2015-11-20,
17,,15,2015-11-20,
18,,2,2015-11-20,
19,,2,2015-11-20,
20,,4,2015-11-20,
21,,2,2015-11-20,
22,,8,2015-11-20,
23,,4,2015-11-20,
1,,6,2015-11-21,
2,,1,2015-11-21,
5,,3,2015-11-21,
6,,3,2015-11-21,
7,,4,2015-11-21,
8,,9,2015-11-21,
9,,9,2015-11-21,
10,,16,2015-11-21,
11,,11,2015-11-21,
12,,7,2015-11-21,
13,,17,2015-11-21,
14,,22,2015-11-21,
15,,30,2015-11-21,
16,,15,2015-11-21,
17,,15,2015-11-21,
18,,4,2015-11-21,
19,,3,2015-11-21,
20,,5,2015-11-21,
21,,2,2015-11-21,
22,,9,2015-11-21,
23,,4,2015-11-21,
0,,1,2015-11-22,
1,,6,2015-11-22,
2,,2,2015-11-22,
5,,3,2015-11-22,
6,,7,2015-11-22,
7,,6,2015-11-22,
8,,9,2015-11-22,
9,,15,2015-11-22,
10,,18,2015-11-22,
11,,11,2015-11-22,
12,,8,2015-11-22,
13,,18,2015-11-22,
14,,23,2015-11-22,
15,,32,2015-11-22,
16,,15,2015-11-22,
17,,15,2015-11-22,
18,,4,2015-11-22,
19,,4,2015-11-22,
20,,8,2015-11-22,
21,,6,2015-11-22,
22,,9,2015-11-22,
23,,4,2015-11-22,
0,,4,2015-11-23,
1,,11,2015-11-23,
2,,11,2015-11-23,
3,,6,2015-11-23,
4,,6,2015-11-23,
5,,4,2015-11-23,
6,,8,2015-11-23,
7,,11,2015-11-23,
8,,16,2015-11-23,
9,,20,2015-11-23,
10,,27,2015-11-23,
11,,13,2015-11-23,
12,,9,2015-11-23,
13,,20,2015-11-23,
14,,29,2015-11-23,
15,,35,2015-11-23,
16,,17,2015-11-23,
17,,16,2015-11-23,
18,,5,2015-11-23,
19,,8,2015-11-23,
20,,8,2015-11-23,
21,,6,2015-11-23,
22,,9,2015-11-23,
23,,4,2015-11-23,
0,,8,2015-11-24,
1,,13,2015-11-24,
2,,12,2015-11-24,
3,,8,2015-11-24,
4,,6,2015-11-24,
5,,4,2015-11-24,
6,,14,2015-11-24,
7,,13,2015-11-24,
8,,16,2015-11-24,
9,,22,2015-11-24,
10,,30,2015-11-24,
11,,16,2015-11-24,
12,,9,2015-11-24,
13,,21,2015-11-24,
14,,30,2015-11-24,
15,,40,2015-11-24,
16,,27,2015-11-24,
17,,21,2015-11-24,
18,,11,2015-11-24,
19,,8,2015-11-24,
20,,8,2015-11-24,
21,,8,2015-11-24,
22,,9,2015-11-24,
23,,6,2015-11-24,
0,,8,2015-11-25,
1,,15,2015-11-25,
2,,14,2015-11-25,
3,,8,2015-11-25,
4,,6,2015-11-25,
5,,4,2015-11-25,
6,,14,2015-11-25,
7,,14,2015-11-25,
8,,23,2015-11-25,
9,,26,2015-11-25,
10,,34,2015-11-25,
11,,22,2015-11-25,
12,,12,2015-11-25,
13,,21,2015-11-25,
14,,31,2015-11-25,
15,,51,2015-11-25,
16,,31,2015-11-25,
17,,24,2015-11-25,
18,,16,2015-11-25,
19,,9,2015-11-25,
20,,8,2015-11-25,
21,,10,2015-11-25,
22,,9,2015-11-25,
23,,6,2015-11-25,
0,,8,2015-11-26,
1,,15,2015-11-26,
2,,14,2015-11-26,
3,,8,2015-11-26,
4,,6,2015-11-26,
5,,4,2015-11-26,
6,,15,2015-11-26,
7,,14,2015-11-26,
8,,30,2015-11-26,
9,,31,2015-11-26,
10,,38,2015-11-26,
11,,28,2015-11-26,
12,,14,2015-11-26,
13,,26,2015-11-26,
14,,38,2015-11-26,
15,,52,2015-11-26,
16,,34,2015-11-26,
17,,33,2015-11-26,
18,,20,2015-11-26,
19,,10,2015-11-26,
20,,8,2015-11-26,
21,,10,2015-11-26,
22,,10,2015-11-26,
23,,8,2015-11-26,
0,,8,2015-11-27,
1,,15,2015-11-27,
2,,16,2015-11-27,
3,,9,2015-11-27,
4,,6,2015-11-27,
5,,5,2015-11-27,
6,,15,2015-11-27,
7,,15,2015-11-27,
8,,33,2015-11-27,
9,,36,2015-11-27,
10,,45,2015-11-27,
11,,36,2015-11-27,
12,,15,2015-11-27,
13,,27,2015-11-27,
14,,46,2015-11-27,
15,,59,2015-11-27,
16,,35,2015-11-27,
17,,36,2015-11-27,
18,,26,2015-11-27,
19,,14,2015-11-27,
20,,8,2015-11-27,
21,,10,2015-11-27,
22,,10,2015-11-27,
23,,8,2015-11-27,
0,,8,2015-11-28,
1,,15,2015-11-28,
2,,16,2015-11-28,
3,,9,2015-11-28,
4,,6,2015-11-28,
5,,5,2015-11-28,
6,,16,2015-11-28,
7,,15,2015-11-28,
8,,33,2015-11-28,
9,,36,2015-11-28,
10,,45,2015-11-28,
11,,36,2015-11-28,
12,,15,2015-11-28,
13,,27,2015-11-28,
14,,46,2015-11-28,
15,,59,2015-11-28,
16,,35,2015-11-28,
17,,36,2015-11-28,
18,,26,2015-11-28,
19,,14,2015-11-28,
20,,8,2015-11-28,
21,,10,2015-11-28,
22,,10,2015-11-28,
23,,8,2015-11-28,
0,,8,2015-11-29,
1,,15,2015-11-29,
2,,19,2015-11-29,
3,,9,2015-11-29,
4,,6,2015-11-29,
5,,5,2015-11-29,
6,,16,2015-11-29,
7,,15,2015-11-29,
8,,33,2015-11-29,
9,,36,2015-11-29,
10,,45,2015-11-29,
11,,36,2015-11-29,
12,,15,2015-11-29,
13,,27,2015-11-29,
14,,46,2015-11-29,
15,,59,2015-11-29,
16,,35,2015-11-29,
17,,36,2015-11-29,
18,,26,2015-11-29,
19,,14,2015-11-29,
20,,8,2015-11-29,
21,,10,2015-11-29,
22,,10,2015-11-29,
23,,9,2015-11-29,
0,,10,2015-11-30,
1,,16,2015-11-30,
2,,19,2015-11-30,
3,,9,2015-11-30,
4,,6,2015-11-30,
5,,5,2015-11-30,
6,,16,2015-11-30,
7,,15,2015-11-30,
8,,33,2015-11-30,
9,,36,2015-11-30,
10,,46,2015-11-30,
11,,38,2015-11-30,
12,,15,2015-11-30,
13,,27,2015-11-30,
14,,47,2015-11-30,
15,,62,2015-11-30,
16,,36,2015-11-30,
17,,38,2015-11-30,
18,,26,2015-11-30,
19,,15,2015-11-30,
20,,12,2015-11-30,
21,,10,2015-11-30,
22,,10,2015-11-30,
23,,9,2015-11-30,
0,,10,2015-12-01,
